Angle: 0 | IR: 0 | Distance: 0
Angle: 10 | IR: 320 | Distance: 0
Angle: 20 | IR: 480 | Distance: 0
Angle: 30 | IR: 750 | Distance: 0
Angle: 40 | IR: 920 | Distance: 0
Angle: 50 | IR: 1100 | Distance: 0
Angle: 60 | IR: 1250 | Distance: 0
Angle: 70 | IR: 1400 | Distance: 0
Angle: 80 | IR: 1480 | Distance: 0
Angle: 90 | IR: 1500 | Distance: 0
Angle: 100 | IR: 1480 | Distance: 0
Angle: 110 | IR: 1400 | Distance: 0
Angle: 120 | IR: 600 | Distance: 0
Angle: 130 | IR: 580 | Distance: 0
Angle: 140 | IR: 920 | Distance: 0
Angle: 150 | IR: 1100 | Distance: 0
Angle: 160 | IR: 1250 | Distance: 0
Angle: 170 | IR: 1350 | Distance: 0
Angle: 180 | IR: 1400 | Distance: 0
Angle: 0 | IR: 0 | Distance: 25
Angle: 10 | IR: 300 | Distance: 25
Angle: 20 | IR: 460 | Distance: 25
Angle: 30 | IR: 700 | Distance: 25
Angle: 40 | IR: 880 | Distance: 25
Angle: 50 | IR: 1050 | Distance: 25
Angle: 60 | IR: 1180 | Distance: 25
Angle: 70 | IR: 1300 | Distance: 25
Angle: 80 | IR: 1420 | Distance: 25
Angle: 90 | IR: 1450 | Distance: 25
Angle: 100 | IR: 1420 | Distance: 25
Angle: 110 | IR: 1300 | Distance: 25
Angle: 120 | IR: 550 | Distance: 25
Angle: 130 | IR: 530 | Distance: 25
Angle: 140 | IR: 870 | Distance: 25
Angle: 150 | IR: 1050 | Distance: 25
Angle: 160 | IR: 1180 | Distance: 25
Angle: 170 | IR: 1300 | Distance: 25
Angle: 180 | IR: 1350 | Distance: 25
Angle: 0 | IR: 0 | Distance: 22
Angle: 10 | IR: 280 | Distance: 24
Angle: 20 | IR: 430 | Distance: 45
Angle: 30 | IR: 650 | Distance: 13
Angle: 40 | IR: 820 | Distance: 20
Angle: 50 | IR: 980 | Distance: -10

END
